Company Name,Symbol
3M India Ltd.,3MINDIA
ABB Ltd.,ABB
ABG Shipyard Ltd.,ABGSHIP
ACC Ltd.,ACC
AIA Engineering Ltd.,AIAENG
Aarti Industries Ltd.,AARTIIND
Aban Offshore Ltd.,ABAN
Adani Enterprises Ltd.,ADANIENT
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Power Ltd.,ADANIPOWER
Aditya Birla Nuvo Ltd.,ABIRLANUVO
Advanta India Ltd.,ADVANTA
Agro Tech Foods Ltd.,ATFL
Akzo Nobel India Ltd.,AKZOINDIA
Allahabad Bank,ALBK
Allcargo Logistics Ltd.,ALLCARGO
Alok Industries Ltd.,ALOKTEXT
Alstom India Ltd.,AIL
Alstom T&D India Ltd.,ALSTOMT&D
Amara Raja Batteries Ltd.,AMARAJABAT
Ambuja Cements Ltd.,AMBUJACEM
Amtek Auto Ltd.,AMTEKAUTO
Amtek India Ltd.,AMTEKINDIA
Anant Raj Industries Ltd.,ANANTRAJ
Andhra Bank,ANDHRABANK
Ansal Properties & Infrastructure Ltd.,ANSALAPI
Apollo Hospitals Enterprises Ltd.,APOLLOHOSP
Apollo Tyres Ltd.,APOLLOTYRE
Aptech Ltd.,APTECHT
Arshiya International Ltd.,ARSHIYA
Arvind Ltd.,ARVIND
Asahi India Glass Ltd.,ASAHIINDIA
Ashok Leyland Ltd.,ASHOKLEY
Asian Paints Ltd.,ASIANPAINT
AstraZenca Pharma India Ltd.,ASTRAZEN
Atul Ltd.,ATUL
Aurobindo Pharma Ltd.,AUROPHARMA
Autoline Industries Ltd.,AUTOIND
Automotive Axles Ltd.,AUTOAXLES
Axis Bank Ltd.,AXISBANK
BASF India Ltd.,BASF
BEML Ltd.,BEML
BF Utilities Ltd.,BFUTILITIE
BGR Energy Systems Ltd,BGRENERGY
BOC India Ltd.,BOC
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Electricals Ltd,BAJAJELEC
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Hindusthan Ltd.,BAJAJHIND
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Balkrishna Industries Ltd.,BALKRISIND
Ballarpur Industries Ltd.,BALLARPUR
Balmer Lawrie & Co. Ltd.,BALMLAWRIE
Balrampur Chini Mills Ltd.,BALRAMCHIN
Banco Products (India) Ltd.,BANCOINDIA
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bannari Amman Sugars Ltd.,BANARISUG
Bata India Ltd.,BATAINDIA
Berger Paints India Ltd.,BERGEPAINT
Bhansali Engineering Polymers Ltd.,BEPL
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bharat Heavy Electricals Ltd.,BHEL
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Bhushan Steel Ltd.,BHUSANSTL
Biocon Ltd.,BIOCON
Birla Corporation Ltd.,BIRLACORPN
Blue Dart Express Ltd.,BLUEDART
Blue Star Ltd.,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,BBTC
Bombay Dyeing & Manufacturing Co. Ltd.,BOMDYEING
Bombay Rayon Fashions Ltd.,BRFL
Bosch Ltd.,BOSCHLTD
Brigade Enterprises Ltd.,BRIGADE
Britannia Industries Ltd.,BRITANNIA
CESC Ltd.,CESC
CMC Ltd.,CMC
CORE Education & Technologies Ltd.,COREEDUTEC
CRISIL Ltd.,CRISIL
Cadila Healthcare Ltd.,CADILAHC
Cairn India Ltd.,CAIRN
Can Fin Homes Ltd.,CANFINHOME
Canara Bank,CANBK
Carborundum Universal Ltd.,CARBORUNIV
Castrol (India) Ltd.,CASTROL
Central Bank of India,CENTRALBK
Century Enka Ltd.,CENTENKA
Century Plyboards (India) Ltd.,CENTURYPLY
Century Textile & Industries Ltd.,CENTURYTEX
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT
Chennai Petroleum Corporation Ltd.,CHENNPETRO
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
Cipla Ltd.,CIPLA
City Union Bank Ltd.,CUB
Clariant Chemicals (India) Ltd.,CLNINDIA
Coal India Ltd.,COALINDIA
Colgate Palmolive (India) Ltd.,COLPAL
Container Corporation of India Ltd.,CONCOR
Coromandel International Ltd.,COROMANDEL
Corporation Bank,CORPBANK
Cox & Kings Ltd.,COX&KINGS
Crompton Greaves Ltd.,CROMPGREAV
Cummins India Ltd.,CUMMINSIND
D B Realty Ltd.,DBREALTY
DCM Shriram Consolidated Ltd.,DCMSRMCONS
DCW Ltd.,DCW
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
Deccan Chronicle Holdings Ltd.,DCHL
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT
Delta Corp Ltd.,DELTACORP
Dena Bank,DENABANK
Development Credit Bank Ltd,DCB
Dewan Housing Finance Corporation Ltd.,DHFL
Dhanlaxmi Bank Ltd.,DHANBANK
Dish TV India Ltd.,DISHTV
Dishman Pharmaceuticals & Chemicals Ltd.,DISHMAN
Divi's Laboratories Ltd.,DIVISLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
Dredging Corporation of India Ltd.,DREDGECORP
Dynamatic Technologies Ltd.,DYNAMATECH
E.I.D. Parry (India) Ltd.,EIDPARRY
EIH Ltd.,EIHOTEL
ESAB India Ltd.,ESABINDIA
Edelweiss Financial Services Ltd.,EDELWEISS
Educomp Solutions Ltd.,EDUCOMP
Eicher Motors Ltd.,EICHERMOT
Elder Pharmaceuticals Ltd.,ELDERPHARM
Electrosteel Castings Ltd.,ELECTCAST
Elgi Equipments Ltd.,ELGIEQUIP
Emami Ltd.,EMAMILTD
Engineers India Ltd.,ENGINERSIN
Entertainment Network India Ltd.,ENIL
Era Infra Engineering Ltd.,ERAINFRA
Eros Intl Media Ltd.,EROSMEDIA
Escorts Ltd.,ESCORTS
Essar Oil Ltd.,ESSAROIL
Essel Propack Ltd.,ESSELPACK
Exide Industries Ltd.,EXIDEIND
FDC Ltd.,FDC
Fag Bearings India Ltd.,FAGBEARING
Federal Bank Ltd.,FEDERALBNK
Federal-Mogul Goetze (India) Ltd.,FMGOETZE
Financial Technologies (India) Ltd.,FINANTECH
Finolex Cables Ltd.,FINCABLES
Finolex Industries Ltd.,FINPIPE
Firstsource Solutions Ltd.,FSL
Flexituff International Ltd.,FLEXITUFF
Fortis Healthcare Ltd.,FORTIS
Fresenius Kabi Oncology Ltd.,FKONCO
Future Capital Holdings Ltd.,FCH
Future Ventures India Ltd.,FUTUREVENT
GAIL (India) Ltd.,GAIL
GHCL Ltd.,GHCL
GMR Infrastructure Ltd.,GMRINFRA
GTL Ltd.,GTL
GVK Power & Infrastructures Ltd.,GVKPIL
Gammon India Ltd.,GAMMONIND
Gammon Infrastructure Projects Ltd.,GAMMNINFRA
Gateway Distriparks Ltd.,GDL
Gati Ltd.,GATI
Geojit BNP Paribas Financial Services Ltd.,GEOJITBNPP
Geometric Ltd.,GEOMETRIC
Gillette India Ltd.,GILLETTE
Gitanjali Gems Ltd.,GITANJALI
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO
Glenmark Pharmaceuticals Ltd.,GLENMARK
Godfrey Phillips India Ltd.,GODFRYPHLP
Godrej Consumer Products Ltd.,GODREJCP
Godrej Industries Ltd.,GODREJIND
Godrej Properties Ltd.,GODREJPROP
Graphite India Ltd.,GRAPHITE
Grasim Industries Ltd.,GRASIM
Great Eastern Shipping Co. Ltd.,GESHIP
Great Offshore Ltd.,GTOFFSHORE
Greaves Cotton Ltd.,GREAVESCOT
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI
Gujarat Fluorochemicals Ltd.,GUJFLUORO
Gujarat Gas Co. Ltd.,GUJRATGAS
Gujarat Industries Power Co. Ltd.,GIPCL
Gujarat Mineral Development Corporation Ltd.,GMDCLTD
Gujarat NRE Coke Ltd.,GUJNRECOKE
Gujarat Narmada Valley Fertilisers Co. Ltd.,GNFC
Gujarat Pipavav Port Ltd.,GPPL
Gujarat State Fertilizers & Chemicals Ltd.,GSFC
Gujarat State Petronet Ltd.,GSPL
H.E.G. Ltd.,HEG
HCL Infosystems Ltd.,HCL-INSYS
HCL Technologies Ltd.,HCLTECH
HDFC Bank Ltd.,HDFCBANK
HSIL Ltd.,HSIL
HT Media Ltd.,HTMEDIA
Hathway Cable & Datacom Ltd.,HATHWAY
Havell's India Ltd.,HAVELLS
Hero MotoCorp Ltd.,HEROMOTOCO
Hexaware Technologies Ltd.,HEXAWARE
Himachal Fut Com Ltd.,HFCL
Himatsingka Seide Ltd.,HIMATSEIDE
Hindalco Industries Ltd.,HINDALCO
Hindustan Construction Co. Ltd.,HCC
Hindustan Oil Exploration Co. Ltd.,HINDOILEXP
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Unilever Ltd.,HINDUNILVR
Hindustan Zinc Ltd.,HINDZINC
Honeywell Automation India Ltd.,HONAUT
Hotel Leela Venture Ltd.,HOTELEELA
Housing Development Finance Corporation Ltd.,HDFC
Housing Development and Infrastructure Ltd.,HDIL
Hubtown Ltd.,HUBTOWN
I T C Ltd.,ITC
ICICI Bank Ltd.,ICICIBANK
ICRA Ltd.,ICRA
IDBI Bank Ltd.,IDBI
IDFC Ltd.,IDFC
IFCI Ltd.,IFCI
IL&FS Engineering and Construction Company Ltd.,IL&FSENGG
ING Vysya Bank Ltd.,INGVYSYABK
IRB Infrastructure Developers Ltd.,IRB
IVRCL Ltd.,IVRCLINFRA
Idea Cellular Ltd.,IDEA
Ind-Swift Laboratories Ltd.,INDSWFTLAB
India Cements Ltd.,INDIACEM
India Glycols Ltd.,INDIAGLYCO
India Infoline Ltd.,INDIAINFO
Indiabulls Financial Services Ltd.,INDIABULLS
Indiabulls Power Ltd.,IBPOW
Indiabulls Real Estate Ltd.,IBREALEST
Indiabulls Securities Ltd.,IBSEC
Indian Bank,INDIANB
Indian Hotels Co. Ltd.,INDHOTEL
Indian Oil Corporation Ltd.,IOC
Indian Overseas Bank ,IOB
Indo Rama Synthetics Ltd.,INDORAMA
Indraprastha Gas Ltd.,IGL
Indraprastha Medical Corporation Ltd.,INDRAMEDCO
IndusInd Bank Ltd.,INDUSINDBK
Info Edge (India) Ltd.,NAUKRI
Infosys Ltd.,INFY
Infotech Enterprises Ltd.,INFOTECENT
Ingersoll Rand (India) Ltd.,INGERRAND
Innoventive Industries Ltd.,INNOIND
Ipca Laboratories Ltd.,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM
J.Kumar Infraprojects Ltd.,JKIL
JBF Industries Ltd.,JBFIND
JK Tyre & Industries Ltd..,JKTYRE
JM Financial Ltd.,JMFINANCIL
JSW Energy Ltd.,JSWENERGY
JSW ISPAT Steel Ltd.,JSWISPAT
JSW Steel Ltd.,JSWSTEEL
Jagran Prakashan Ltd.,JAGRAN
Jai Balaji Industries Ltd.,JAIBALAJI
Jai Corp Ltd.,JAICORPLTD
Jain Irrigation Systems Ltd.,JISLJALEQS
Jaiprakash Associates Ltd.,JPASSOCIAT
Jaiprakash Power Ventures Ltd.,JPPOWER
Jammu & Kashmir Bank Ltd.,J&KBANK
Jaypee Infratech Ltd.,JPINFRATEC
Jet Airways (India) Ltd.,JETAIRWAYS
Jindal Poly Films Ltd.,JINDALPOLY
Jindal Saw Ltd.,JINDALSAW
Jindal SouthWest Hold Ltd.,JINDALSWHL
Jindal Stainless Ltd.,JSL
Jindal Steel & Power Ltd.,JINDALSTEL
Jubilant Foodworks Ltd.,JUBLFOOD
Jubilant Life Sciences Ltd.,JUBILANT
Jyoti Structures Ltd.,JYOTISTRUC
K.S. Oils Ltd.,KSOILS
KCP Ltd.,KCP
KPIT Cummins Infosystem Ltd.,KPIT
KSB Pumps Ltd.,KSBPUMPS
KSK Energy Ventures Ltd,KSK
Kajaria Ceramics Ltd.,KAJARIACER
Kalpataru Power Transmission Ltd.,KALPATPOWR
Kansai Nerolac Paints Ltd.,KANSAINER
Karnataka Bank Ltd.,KTKBANK
Karur Vysya Bank Ltd.,KARURVYSYA
Karuturi Global Ltd.,KGL
Kec International Ltd.,KEC
Kemrock Industries and Exports Ltd.,KEMROCK
Kesoram Industries Ltd.,KESORAMIND
Kotak Mahindra Bank Ltd.,KOTAKBANK
Kwality Dairy (India) Ltd.,KWALITY
L&T Finance Holdings Ltd.,L&TFH
LIC Housing Finance Ltd.,LICHSGFIN
Lakshmi Machine Works Ltd.,LAXMIMACH
Lakshmi Vilas Bank Ltd.,LAKSHVILAS
Lanco Infratech Ltd.,LITL
Larsen & Toubro Ltd.,LT
Lovable Lingerie Ltd.,LOVABLE
Lupin Ltd.,LUPIN
MRF Ltd.,MRF
MVL Ltd.,MVL
Madras Cements Ltd.,MADRASCEM
Mahanagar Telephone Nigam Ltd.,MTNL
Maharashtra Seamless Ltd.,MAHSEAMLES
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
Mahindra & Mahindra Ltd.,M&M
Mahindra Lifespace Developers Ltd.,MAHLIFE
Man Infraconstruction Ltd.,MANINFRA
Mandhana Industries Ltd.,MANDHANA
Mangalore Chemicals & Fertilizers Ltd.,MANGCHEFER
Mangalore Refinery & Petrochemicals Ltd.,MRPL
Marico Ltd.,MARICO
Maruti Suzuki India Ltd.,MARUTI
Mastek Ltd.,MASTEK
Max India Ltd.,MAX
McLeod Russel India Ltd.,MCLEODRUSS
Mercator Ltd.,MERCATOR
Merck Ltd.,MERCK
MindTree Ltd.,MINDTREE
Monnet Ispat and Energy Ltd.,MONNETISPA
Monsanto India Ltd.,MONSANTO
Motherson Sumi Systems Ltd.,MOTHERSUMI
Motilal Oswal Financial Services Ltd.,MOTILALOFS
MphasiS Ltd.,MPHASIS
Muthoot Finance Ltd.,MUTHOOTFIN
NCC Ltd.,NCC
NHPC Ltd.,NHPC
NIIT Ltd.,NIITLTD
NMDC Ltd.,NMDC
NTPC Ltd.,NTPC
National Aluminium Co. Ltd.,NATIONALUM
Nava Bharat Ventures Ltd.,NBVENTURES
Navneet Publications (India) Ltd.,NAVNETPUBL
Network18 Media & Investments Ltd.,NETWORK18
Neyveli Lignite Corporation Ltd.,NEYVELILIG
Nilkamal Ltd.,NILKAMAL
Noida-Toll Bridge Co. Ltd.,NOIDATOLL
Oberoi Realty Ltd.,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,ONGC
Oil India Ltd.,OIL
Omaxe Ltd.,OMAXE
Opto Circuits (I) Ltd.,OPTOCIRCUI
Oracle Financial Services Software Ltd.,OFSS
Orbit Corporation Ltd.,ORBITCORP
Orchid Chemicals & Pharmaceuticals Ltd.,ORCHIDCHEM
Orient Paper & Industries Ltd.,ORIENTPPR
Oriental Bank of Commerce,ORIENTBANK
Oriental Hotels Ltd.,ORIENTHOT
Orissa Min Dev Co Ltd.,ORISSAMINE
Oswal Chemicals & Fertilizers Ltd.,BINDALAGRO
PSL Ltd.,PSL
PTC India Ltd.,PTC
Page Industries Ltd.,PAGEIND
Pantaloon Retail (India) Ltd.,PANTALOONR
Parsvnath Developer Ltd.,PARSVNATH
Patel Engineering Ltd.,PATELENG
Peninsula Land Ltd.,PENINLAND
Persistent Systems Ltd.,PERSISTENT
Petronet LNG Ltd.,PETRONET
Pfizer Ltd.,PFIZER
Phoenix Mills Ltd.,PHOENIXLTD
Pidilite Industries Ltd.,PIDILITIND
Pipavav Defence and Offshore Engineering Company Ltd.,PIPAVAVDOC
Piramal Enterprises Ltd.,PEL
Polaris Financial Technology Ltd.,POLARIS
Power Finance Corporation Ltd.,PFC
Power Grid Corporation of India Ltd.,POWERGRID
Praj Industries Ltd.,PRAJIND
Prakash Industries Ltd.,PRAKASH
Prestige Estates Projects Ltd.,PRESTIGE
Prime Focus Ltd,PFOCUS
Prism Cement Ltd.,PRISMCEM
Procter & Gamble Hygiene & Health Care Ltd.,PGHH
Punj Lloyd Ltd.,PUNJLLOYD
Punjab National Bank,PNB
Puravankara Projects Ltd.,PURVA
Radico Khaitan Ltd,RADICO
Rajesh Exports Ltd.,RAJESHEXPO
Rallis India Ltd.,RALLIS
Ramco Industries Ltd.,RAMCOIND
Ramky Infra Ltd.,RAMKY
Ranbaxy Laboratories Ltd.,RANBAXY
Rashtriya Chemicals & Fertilizers Ltd.,RCF
Raymond Ltd.,RAYMOND
Redington (India) Ltd.,REDINGTON
Rei Agro Ltd.,REIAGROLTD
Reliance Capital Ltd.,RELCAPITAL
Reliance Communications Ltd.,RCOM
Reliance Industrial Infrastructure Ltd.,RIIL
Reliance Industries Ltd.,RELIANCE
Reliance Infrastructure Ltd.,RELINFRA
Reliance Power Ltd.,RPOWER
Religare Enterprises Ltd.,RELIGARE
Rolta India Ltd.,ROLTA
Ruchi Soya Industries Ltd.,RUCHISOYA
Rural Electrification Corporation Ltd.,RECLTD
S. Kumars Nationwide Ltd.,SKUMARSYNF
S.E. Investments Ltd.,SEINV
SKF India Ltd.,SKFINDIA
SKS Microfinance Ltd.,SKSMICRO
SREI Infrastructure Finance Ltd.,SREINFRA
SRF Ltd.,SRF
Sadbhav Engineering Ltd,SADBHAV
Sanofi India Ltd.,SANOFI
Sesa Goa Ltd.,SESAGOA
Shanthi Gears Ltd.,SHANTIGEAR
Shasun Pharmaceuticals Ltd.,SHASUNPHAR
Shipping Corporation of India Ltd.,SCI
Shoppers Stop Ltd.,SHOPERSTOP
Shree Ashtavinayak Cine Vision Ltd.,SHREEASHTA
Shree Cement Ltd.,SHREECEM
Shree Renuka Sugars Ltd.,RENUKA
Shrenuj & Co. Ltd.,SHRENUJ
Shri Lakshmi Cotsyn Ltd.,SHLAKSHMI
Shriram City Union Finance Ltd.,SHRIRAMCIT
Shriram Transport Finance Co. Ltd.,SRTRANSFIN
Siemens Ltd.,SIEMENS
Simplex Infrastructures Ltd.,SIMPLEXINF
Sintex Industries Ltd.,SINTEX
Sobha Developers Ltd.,SOBHA
Sona Koyo Steering Systems Ltd.,SONASTEER
Sonata Software Ltd.,SONATSOFTW
South Indian Bank Ltd.,SOUTHBANK
State Bank of Bikaner & Jaipur Ltd.,SBBJ
State Bank of India,SBIN
State Bank of Travancore,SBT
Steel Authority of India Ltd.,SAIL
Sterling Biotech Ltd,STERLINBIO
Sterlite Technologies Ltd.,STRTECH
Strides Arcolab Ltd.,STAR
Sujana Towers Ltd.,SUJANATOW
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
Sun TV Network Ltd.,SUNTV
Sundaram Finance Ltd.,SUNDARMFIN
Sundram Fasteners Ltd.,SUNDRMFAST
Sunteck Realty Ltd.,SUNTECK
Supreme Industries Ltd.,SUPREMEIND
Supreme Infrastructure India Ltd.,SUPREMEINF
Supreme Petrochem Ltd.,SUPPETRO
Suzlon Energy Ltd.,SUZLON
Swaraj Engines Ltd.,SWARAJENG
Syndicate Bank,SYNDIBANK
TD Power Systems Ltd.,TDPOWERSYS
TTK Prestige Ltd.,TTKPRESTIG
TV18 Broadcast Ltd.,TV18BRDCST
TVS Motor Company Ltd.,TVSMOTOR
Tamil Nadu Newsprint & Papers Ltd.,TNPL
Tata Chemicals Ltd.,TATACHEM
Tata Coffee Ltd.,TATACOFFEE
Tata Communications Ltd.,TATACOMM
Tata Consultancy Services Ltd.,TCS
Tata Elxsi Ltd.,TATAELXSI
Tata Global Beverages Ltd.,TATAGLOBAL
Tata Investment Corporation Ltd.,TATAINVEST
Tata Motors Ltd.,TATAMOTORS
Tata Power Co. Ltd.,TATAPOWER
Tata Sponge Iron Ltd.,TATASPONGE
Tata Steel Ltd.,TATASTEEL
Tech Mahindra Ltd.,TECHM
Techno Elt & Eng Co. Ltd.,TECHNO
Thermax Ltd.,THERMAX
Thomas Cook (India) Ltd.,THOMASCOOK
Tinplate Company of India Ltd.,TINPLATE
Titan Industries Ltd.,TITAN
Torrent Pharmaceuticals Ltd.,TORNTPHARM
Torrent Power Ltd.,TORNTPOWER
Tree House Education & Accessories Ltd.,TREEHOUSE
Trent Ltd.,TRENT
Tube Investments of India Ltd.,TUBEINVEST
Tulip Telecom Ltd.,TULIP
UCO Bank,UCOBANK
UFLEX Ltd.,UFLEX
UltraTech Cement Ltd.,ULTRACEMCO
Unichem Laboratories Ltd.,UNICHEMLAB
Union Bank of India,UNIONBANK
Unitech Ltd.,UNITECH
United Breweries (Holdings) Ltd.,UBHOLDINGS
United Breweries Ltd.,UBL
United Phosphorus Ltd.,UNIPHOS
United Spirits Ltd.,MCDOWELL-N
Unity Infraprojects Ltd.,UNITY
Usha Martin Ltd.,USHAMART
Uttam Galva Steels Ltd.,UTTAMSTL
V.I.P. Industries Ltd.,VIPIND
VST Industries Ltd.,VSTIND
Vakrangee Software Ltd.,VAKRANSOFT
Varun Shipping Co. Ltd.,VARUNSHIP
Venky's (India) Ltd.,VENKEYS
Vesuvius India Ltd.,VESUVIUS
Videocon Industries Ltd.,VIDEOIND
Vijaya Bank,VIJAYABANK
Voltas Ltd.,VOLTAS
WABCO India Ltd.,WABCOINDIA
Welspun Corp Ltd.,WELCORP
West Coast Paper Mills Ltd.,WSTCSTPAPR
Whirlpool of India Ltd.,WHIRLPOOL
Wipro Ltd.,WIPRO
Wyeth Ltd.,WYETH
Yes Bank Ltd.,YESBANK
Zee Entertainment Enterprises Ltd.,ZEEL
Zensar Technolgies Ltd.,ZENSARTECH
Zodiac Clothing Co. Ltd.,ZODIACLOTH
Zydus Wellness Ltd.,ZYDUSWELL
eClerx Services Ltd.,ECLERX
